YEAR,GHCN,NAME,STATE,LATITUDE,LONGITUDE,MaxT_Records,MinT_Records,MaxT_Obs,MinT_Obs,HeatRisk
2005,USC00020080,AJO,AZ,32.37,-112.86,100,73,85,63,1
2006,USC00020080,AJO,AZ,32.37,-112.86,100,74,86,63,1
2007,USC00020080,AJO,AZ,32.37,-112.86,100,73,88,63,1
2008,USC00020080,AJO,AZ,32.37,-112.86,98,72,84,60,1
2009,USC00020080,AJO,AZ,32.37,-112.86,104,77,92,67,1
2010,USC00020080,AJO,AZ,32.37,-112.86,101,74,86,62,1
2011,USC00020080,AJO,AZ,32.37,-112.86,100,73,85,60,1
2012,USC00020080,AJO,AZ,32.37,-112.86,99,73,87,61,1
2013,USC00020080,AJO,AZ,32.37,-112.86,100,73,85,60,1
2014,USC00020080,AJO,AZ,32.37,-112.86,100,73,87,62,1
2015,USC00020080,AJO,AZ,32.37,-112.86,100,73,86,61,1
2016,USC00020080,AJO,AZ,32.37,-112.86,100,73,88,61,1
2017,USC00020080,AJO,AZ,32.37,-112.86,100,73,89,61,1
2018,USC00020080,AJO,AZ,32.37,-112.86,100,73,87,62,1
2019,USC00020080,AJO,AZ,32.37,-112.86,100,73,86,60,1
2020,USC00020080,AJO,AZ,32.37,-112.86,100,73,89,62,1
2021,USC00020080,AJO,AZ,32.37,-112.86,100,73,88,61,1
2022,USC00020080,AJO,AZ,32.37,-112.86,100,73,88,61,1
2023,USC00020080,AJO,AZ,32.37,-112.86,100,73,88,60,1
2024,USC00020080,AJO,AZ,32.37,-112.86,100,74,90,62,1
2005,USC00021248,CANYON DE CHELLY,AZ,36.153,-109.539,84,54,71,41,1
2006,USC00021249,CANYON DE CHELLY,AZ,36.153,-109.539,84,54,70,38,0
2007,USC00021250,CANYON DE CHELLY,AZ,36.153,-109.539,85,55,70,40,0
2008,USC00021251,CANYON DE CHELLY,AZ,36.153,-109.539,84,54,68,38,0
2009,USC00021252,CANYON DE CHELLY,AZ,36.153,-109.539,85,55,69,39,0
2010,USC00021253,CANYON DE CHELLY,AZ,36.153,-109.539,84,55,68,39,0
2011,USC00021254,CANYON DE CHELLY,AZ,36.153,-109.539,84,54,68,39,0
2012,USC00021255,CANYON DE CHELLY,AZ,36.153,-109.539,84,54,71,39,0
2013,USC00021256,CANYON DE CHELLY,AZ,36.153,-109.539,84,54,67,38,0
2014,USC00021257,CANYON DE CHELLY,AZ,36.153,-109.539,84,54,70,40,0
